index,sv_word,old,new,sentence
36,stor,big,eating,"There were many large food projects before we even started eating, like caramel making."
37,smak,taste,last,Last winter we used to bake a bun with yeast and eat marmalade with an orange flavor.
38,god,tasty,to a restaurant to eat,But he would rather go to a restaurant to eat a good salad with chicken and egg.
39,burk,can/jar,can,We also bought some salted herring and a can of fermented herring.
40,lite,a little,and salt,You could mix some mushrooms and salt thoroughly.
41,hälsning,regards,greetings,"Greetings ...
Anna"
42,verkade,seemed,seem,"My neighbor did not seem to be infected by any cold, because he had a good appetite."
43,hyra,rent,often,"Unfortunately, you often have to sublet a space in an ugly parking lot, sometimes built by order of a politician."
44,cyklade,were biking,were mountain biking,"""Help me!"" shouted my friend when we were mountain biking."
45,smaka,taste,tasting,She couldn't resist tasting it.
46,hopp,the hope,get hope,It felt good to name the problems and hopefully get hope back.
47,djurens,animal's,animal,There is an important difference between old and new research on animal behavior.
48,himla,really,,It was an evocative environment.
49,himla,really,breathe,"It was an evocative environment, and we could breathe fresh air."
50,bergets,the mountain's,the south side of the,On the south side of the mountain the sun was shining.
51,hämta,pick up,pick them up,"If someone had a handicap and was disabled, an ambulance could roll in to pick them up."
52,gång,time,to run exactly once a week according to my,"Actually, my goal is to run exactly once a week according to my training schedule."
53,promenera,walking,looking,"I went to a clothing store that had a big sale all day. Instead of looking in an old catalog, I bought a new white swimsuit and a pair of extra thick socks."
54,strumpa,sock,,But suddenly I noticed that my wallet was gone. suddenly. wallet.
55,klädbutik,clothing store,,But suddenly I noticed that my wallet was gone. suddenly. wallet.
56,rea,sale,wallet was gone. suddenly. wallet,But suddenly I noticed that my wallet was gone. suddenly. wallet.
57,baddräkt,swimsuit,something stupid,I didn't want to accidentally do something stupid or seem like I was trying to shoplift. accidentally. do something stupid. seem. shoplift.
58,strumpor,socks,,I didn't want to accidentally do something stupid or seem like I was trying to shoplift. accidentally. do something stupid. seem. shoplift.
59,personalen,staff,,"I don't usually skimp, but an expensive watch I had in my bag was also gone. skimp. watch."
60,hittade,find,i,Had I put it somewhere? somewhere.
61,väskan,bag,,The next morning it was freezing cold and the ground was icy. The next morning. icy.
62,dyr,expensive,,The next morning it was freezing cold and the ground was icy. The next morning. icy.
63,lagt,put,,I took an ugly jacket and an umbrella. ugly.
64,iskallt,freezing cold,freezing right to my soul. used to. freezing,I was not used to the cold and started freezing right to my soul. used to. freezing.
65,marken,ground,and,I was not used to the cold and started freezing right to my soul. used to. freezing.
66,paraply,umbrella,,I thought about daydreaming away. daydreaming.
67,kylan,the cold,the house,"My current apartment is not as big as the house I lived in when I was 10 years old, but every detail is important."
68,själ,soul,old,"My current apartment is not as big as the house I lived in when I was 10 years old, but every detail is important."
69,bort,away,a,I went into my bedroom to rest for a quarter of an hour. bedroom.
70,nuvarande,current,yourself,"""Prepare yourself for the day after tomorrow!"" said a singing voice on the radio. Prepare. singing."
71,detalj,detail,day,"""Prepare yourself for the day after tomorrow!"" said a singing voice on the radio. Prepare. singing."
72,kvart,quarter of an hour,about a capable housewife,It was a program about a capable housewife. housewife.
73,vila,rest,,It was a program about a capable housewife. housewife.
74,röst,voice,one,"One tip was to clean out your fridge, another was to take a sauna in your little bathroom to relax. fridge. take a sauna."
75,radion,radio,relax,"One tip was to clean out your fridge, another was to take a sauna in your little bathroom to relax. fridge. take a sauna."
76,program,program,,Taking a sauna is a useful method for relaxation. Taking a sauna. useful.
77,duktig,capable,,Taking a sauna is a useful method for relaxation. Taking a sauna. useful.
78,lugnt,relax,least,"I actually haven't taken a sauna at all, at least not for several months. actually. not for several months."
79,metod,method,took,"Before, I took a sauna several times a week. several times a week."
80,avkoppling,relaxation,,"Before, I took a sauna several times a week. several times a week."
81,alls,at all,After a,"After a couple of days, I felt better. a couple of days."
82,förut,Before,,I stopped giving up and decided to let out all the stress.
83,bättre,better,,"If something breaks, what will it mean in a hundred years? breaks. mean."
84,slutade,stopped,some time for yourself. a day. some,"You have to sleep eight hours a day, at least some time for yourself. a day. some time."
85,timmar,hours,goes,Life goes on!
86,favoritlag,favorite team,,
87,visas,are shown,are also shown,"Sometimes martial arts are also shown, and it doesn't seem to matter what you like."
88,handlade,was about,was not,Life was not just about art.
89,spela död,play dead,play actor,He often used to play actor and always wanted to play actor in front of the camera.
90,gillade,liked,like,She explained that she didn't like just lying around and lazing.
91,gärna,gladly,old,"He also wanted to watch the old Swedish movie ""Summer with Monika"" with his big idol."
92,styrs,is governed,governed,A democratic country is often governed by a parliament.
93,komplicerat,complicated,,"I thought only expensive food would be on the menu today."" expensive."
94,menyn,menu,,Suddenly we heard a scream.
95,skrik,scream,store,A criminal thief had tried to rob a store nearby and then tried to escape. criminal. thief.
96,råna,rob,arose,"In the panic, chaos arose in all local traffic. traffic."
97,rymma,escape,,"In the panic, chaos arose in all local traffic. traffic."
98,paniken,panic,traffic,"Two cars, of which one vehicle belonged to the Swedish military, happened to crash, which caused a serious traffic accident."
99,kaos,chaos,cars,"Two cars, of which one vehicle belonged to the Swedish military, happened to crash, which caused a serious traffic accident."
100,fordon,vehicle,,We saw a shocking accident happen before our eyes.
101,krocka,crash,a shocking,We saw a shocking accident happen before our eyes.
102,chockerande,shocking,ranking,A high-ranking police superintendent came there to try to handle the situation. police superintendent. try.
103,framför,before,there,A high-ranking police superintendent came there to try to handle the situation. police superintendent. try.
104,hantera,handle,hard,It was hard to know who was who among all the screaming witnesses. who was who.
105,skrikande,screaming,great enmity,"Someone claimed that a man had been murdered by a known murderer and then been shot, and that there had been great enmity between them. murdered. murderer."
106,vittnen,witnesses,then been,"Someone claimed that a man had been murdered by a known murderer and then been shot, and that there had been great enmity between them. murdered. murderer."
107,hävdade,claimed,,"This turned out to be a pure untruth, however. untruth."
108,fiendskap,enmity,,"This turned out to be a pure untruth, however. untruth."
109,ren,pure,three,"The police arrested three suspects at the scene, and chose to immediately invite everyone involved to the police station for questioning. arrested."
110,stycken,three,,
111,misstänkta,suspects,,
112,inblandade,involved,,
113,krävs,is required,required,Then a strong coalition is often required.
114,farföräldrar,paternal grandparents,maternal grandparents,"Both my paternal and maternal grandparents really liked gathering all the small grandchildren, some nice villagers, local school staff, and also my older sister."
115,gärna,want to,wanted to,He wanted to show up in exactly the right place at the right time.
116,nämligen,namely,in exactly,He wanted to show up in exactly the right place at the right time.
117,platser,places,place,"I really like this kind of... quiet and peaceful place."""
118,överdrev,was exaggerating,was probably exaggerating,"""It is a shame for... well, for our entire family,"" my dad said, although he was probably exaggerating a bit."
119,tråkigt,sad,said,"""We have to try to make the best of a bad situation,"" I said."
120,skott,shot,flash,Then he took off quick as a flash.
121,med,with,light,He even used to light a candle for those he thought of and wanted to admire.
