art_12_s001 | Jag älskar mat. | ['mat']
art_14_s014 | Den serveras med mycket smör och lingonsylt. | ['smör', 'lingonsylt']
art_14_s015 | "Å ena sidan… å andra sidan," började min vän, "är det jättegott, men man får ju paltkoma." | ['palt', 'Å ena sidan… å andra sidan', 'bör', 'paltkoma']
art_14_s016 | För att hon inte skulle bli slagen av trötthet, så bestämde vi oss för att gå ut. | ['bli slagen', 'bestämde', 'gå ut']
art_14_s017 | Vi tog ett dopp. | []
art_14_s018 | Efter flera salta bad fick vi ny energi. | ['salta bad']
art_14_s019 | Vi firade den varma månaden juni genom att äta mer. | ['juni']
art_14_s020 | Solens låga fallvinkel över havet var vacker. | ['låga', 'fallvinkel']
art_14_s021 | Vi tittade på en gammal film, en riktig snyftare, medan vi åt dessert. | ['snyftare']
art_14_s022 | Jag hade gjort en ugnsgräddad pannkaka med en klick äggost. | ['ugnsgräddad', 'pannkaka', 'äggost']
art_14_s023 | Vi hade också en äppelkaka kryddad med kanel och prydd med minst en äppelklyfta. | ['äppelkaka', 'kryddad med', 'minst', 'äppelklyfta']
art_14_s024 | Dessutom fanns färsk jordgubbe och några björnbär som verkade vara begravda under grädden. | ['jordgubbe', 'björnbär', 'begravd']
art_14_s025 | "Denna rätt bör höra till en officiell meny," sa hon. | ['höra till', 'officiell']
art_14_s026 | "Tack, men nästa gång kanske jag lagar kryddig thaimat med paprika och lite riven parmesan på toppen, även om det kräver en lång förklaring av ett svårt recept steg för steg," skrattade jag. | ['thaimat', 'paprika', 'parmesan', 'förklaring', 'recept', 'steg']
art_15_s001 | Förr i tiden var det viktigt att kunna koka sylt och konservera mat för att ha mat under hela vintern. | ['Förr', 'koka sylt', 'sylt', 'konservera']
art_15_s002 | "Det hade jag ingen aning om." sa min vän från Spanien. | ['Det hade jag ingen aning om.', 'än']
art_15_s003 | För att imponera på honom bestämde jag mig för att lära honom om svensk mat. | ['imponera', 'lära']
art_15_s004 | Det fanns många stora matprojekt innan vi ens började äta, som karamellkokning. | ['innan', 'karamellkokning']
art_15_s005 | Allt hände i köket och jag ville nästan uppfostra honom i vår kultur. | ['än', 'uppfostra']
art_15_s006 | I vintras brukade vi baka en bulle med jäst och äta marmelad med smak av apelsin. | ['I vintras', 'bulle', 'jäst', 'marmelad', 'apelsin']
art_15_s007 | Det var en lätt och färsk frukost. | ['lätt', 'färsk']
art_15_s008 | Men han ville hellre gå på restaurang för att äta en god sallad med kyckling och ägg. | ['gå på restaurang', 'kyckling', 'ägg']
art_15_s009 | "Okej då", sa jag, och vi åt ute istället. | ['Okej då', 'istället']
art_15_s010 | Jag ville visa att svensk matkultur också kan förändras och vara progressiv. | ['än', 'förändras', 'progressiv']
art_15_s011 | "Kom igen!" ropade jag. | ['Kom igen!']
art_15_s012 | Vi gick till en marknad. | []
art_15_s013 | Landets regerande snackstillverkare sålde en underbar blandning av bränd nöt och kanderad viol eller syren. | ['än', 'regerande', 'snackstillverkare', 'blandning', 'bränd', 'nöt', 'kanderad', 'viol', 'syren']
art_15_s014 | Efter en tid valde vi att köpa en mjuk och seg gräddkola. | ['Efter en tid', 'seg', 'gräddkola']
art_15_s015 | Vi köpte också lite salt sill och en burk surströmming. | ['salt', 'sill', 'surströmming']
art_15_s016 | Under lång tid brukade man stanna upp på kvällen för att äta något gott. | ['Under lång tid', 'stanna upp', 'gott']
art_15_s017 | Man kunde blanda lite svamp och salta ordentligt. | ['salt', 'blanda', 'svamp', 'salta']
art_15_s018 | Man sparade allt i sitt skafferi. | ['skafferi']
art_15_s019 | Idag är maten ofta producerad utomlands, och lastbilar trafikerar vägarna till och från affärerna för att ge oss färdiga varor. | ['producerad', 'trafikerar', 'till och från']
art_15_s020 | Det är mycket enklare nu än förr. | []
art_15_s021 | Efter middagen bjöd jag på fryst glass med lite grädde, honung och lite sylt på toppen. | ['fryst', 'glass', 'grädde', 'honung', 'toppen']
art_15_s022 | Han älskade det. | []
art_15_s023 | Svensk mat är fantastisk. | []
art_15_s024 | "Är du med?" frågade jag. | ['Är du med?']
art_15_s025 | Han nickade instämmande och ville att jag skulle upprepa receptet, eftersom olika typer av mat fascinerade honom. | ['upprepa', 'olika']
art_15_s026 | En av landets största utmaningar är att bevara det gamla, men detta gick bra. | ['största']
art_15_s027 | Hälsningar …
Anna | ['Hälsningar …']
